idx,generation,n,r,w,nPerRound,num_steps,mean_p,mean_q
0,2,100,50,0,2,100,0.5114307130498876,0.3203188475534375
0,2,100,50,0,3,100,0.5434987848613804,0.22827666369631516
0,2,100,50,0,4,100,0.5712677812185433,0.2501938649431386
0,2,100,50,0,5,100,0.6231314788090363,0.19323077923525542
0,2,100,50,0,10,100,0.703503000880064,0.17943720457556384
0,2,100,50,0.05,2,100,0.5251300861010175,0.35023692230238174
0,2,100,50,0.05,3,100,0.4309124404590211,0.21019889541187886
0,2,100,50,0.05,4,100,0.49430482897007494,0.22262469734345808
0,2,100,50,0.05,5,100,0.6559794866486507,0.23461088291029042
0,2,100,50,0.05,10,100,0.541166465131706,0.27542368694745906
0,2,100,50,0.1,2,100,0.5444894443357496,0.37109554948258633
0,2,100,50,0.1,3,100,0.5295322691267268,0.29067443956039685
0,2,100,50,0.1,4,100,0.5993613778414616,0.3158176719652107
0,2,100,50,0.1,5,100,0.46643657515175874,0.24852200926948975
0,2,100,50,0.1,10,100,0.4074851330670212,0.23985128504506367
0,2,100,50,0.15,2,100,0.5715173770371584,0.43155420387835347
0,2,100,50,0.15,3,100,0.6639439820613598,0.2675254801870376
0,2,100,50,0.15,4,100,0.4942746566158501,0.2657205223940508
0,2,100,50,0.15,5,100,0.5319270009209163,0.2153097141051139
0,2,100,50,0.15,10,100,0.47423811671718136,0.12533257745435336
0,2,100,50,0.2,2,100,0.5965485592627923,0.4451522270380542
0,2,100,50,0.2,3,100,0.6916325003913383,0.33313264891113986
0,2,100,50,0.2,4,100,0.4951375578442559,0.2897143626502822
0,2,100,50,0.2,5,100,0.480296185244263,0.28420144121516133
0,2,100,50,0.2,10,100,0.5121942214664266,0.22214871899996771
0,2,100,50,0.25,2,100,0.6114195664723744,0.2819073644430471
0,2,100,50,0.25,3,100,0.654222431092725,0.2984893090093019
0,2,100,50,0.25,4,100,0.5333864812659198,0.2427690032442478
0,2,100,50,0.25,5,100,0.6153932615660809,0.2073965825711454
0,2,100,50,0.25,10,100,0.2835646090485047,0.23406558954620085
0,2,100,50,0.3,2,100,0.5922612687907729,0.487330866520079
0,2,100,50,0.3,3,100,0.6716391464347282,0.22239497825783267
0,2,100,50,0.3,4,100,0.5554707215138414,0.25456860716774093
0,2,100,50,0.3,5,100,0.6574048676099199,0.23161420517656137
0,2,100,50,0.3,10,100,0.5272448540594246,0.2915824476444246
0,2,100,50,0.35,2,100,0.6380217072924698,0.46812454256562347
0,2,100,50,0.35,3,100,0.6341998163296602,0.33819183899440397
0,2,100,50,0.35,4,100,0.44909699023487953,0.315216242643448
0,2,100,50,0.35,5,100,0.5643098031107477,0.20941221784055963
0,2,100,50,0.35,10,100,0.4284556773309391,0.44676617925087514
0,2,100,50,0.4,2,100,0.6670395143187613,0.45239153883131566
0,2,100,50,0.4,3,100,0.4793026741423514,0.34482520801251676
0,2,100,50,0.4,4,100,0.631819617235361,0.25246393032218206
0,2,100,50,0.4,5,100,0.5216866520045089,0.1856034046115399
0,2,100,50,0.4,10,100,0.5277199913180346,0.5370897898087282
0,2,100,50,0.45,2,100,0.6960134192083457,0.4830207949611729
0,2,100,50,0.45,3,100,0.5995219921266528,0.3056825188753196
0,2,100,50,0.45,4,100,0.5595127033447863,0.2707317685280911
0,2,100,50,0.45,5,100,0.5687441938791176,0.22655663827474765
0,2,100,50,0.45,10,100,0.493997597466489,0.23981458827469004
0,2,100,50,0.5,2,100,0.6968723538225383,0.4567424111865915
0,2,100,50,0.5,3,100,0.5709095699790433,0.3319844568823057
0,2,100,50,0.5,4,100,0.5354594278320112,0.2920355561889359
0,2,100,50,0.5,5,100,0.6118807535436069,0.24207800733379972
0,2,100,50,0.5,10,100,0.4505258631264843,0.1690170709097195
0,3,100,50,0,2,100,0.502211992129794,0.2679497007283217
0,3,100,50,0,3,100,0.5547466430731047,0.19989610302089467
0,3,100,50,0,4,100,0.6092019744975175,0.22349212253137132
0,3,100,50,0,5,100,0.6402217130250605,0.1642370401180015
0,3,100,50,0,10,100,0.7664586591241797,0.143986455593644
0,3,100,50,0.05,2,100,0.5058785417250393,0.3572932461874306
0,3,100,50,0.05,3,100,0.45218305183785773,0.20774643187196687
0,3,100,50,0.05,4,100,0.49871729725930236,0.22778393039408265
0,3,100,50,0.05,5,100,0.6844299605412695,0.21243396477163223
0,3,100,50,0.05,10,100,0.5280577726610265,0.21525507662807145
0,3,100,50,0.1,2,100,0.5532657300739943,0.347452447147066
0,3,100,50,0.1,3,100,0.596571709107262,0.28311691487946483
0,3,100,50,0.1,4,100,0.6520502418189663,0.2909800122746577
0,3,100,50,0.1,5,100,0.45806039174404134,0.20886509177095292
0,3,100,50,0.1,10,100,0.44659796882491454,0.22386650640065855
0,3,100,50,0.15,2,100,0.6154926256979711,0.4197619640256049
0,3,100,50,0.15,3,100,0.6699431420275923,0.27420092527216516
0,3,100,50,0.15,4,100,0.45093733858751606,0.2234414375972419
0,3,100,50,0.15,5,100,0.549477204603527,0.19957673599817605
0,3,100,50,0.15,10,100,0.5185453418084359,0.11534430486838326
0,3,100,50,0.2,2,100,0.5885247595324196,0.45167598143998816
0,3,100,50,0.2,3,100,0.6908627835955804,0.3115321437187697
0,3,100,50,0.2,4,100,0.4678565453032208,0.26901416025448655
0,3,100,50,0.2,5,100,0.49756833513011167,0.25612938794726414
0,3,100,50,0.2,10,100,0.43343488275440356,0.16020453058910106
0,3,100,50,0.25,2,100,0.5938754180551448,0.24750293382218697
0,3,100,50,0.25,3,100,0.6184201764735926,0.3024383211668993
0,3,100,50,0.25,4,100,0.5125625542535448,0.2248510854586085
0,3,100,50,0.25,5,100,0.6363749892071666,0.1931102049555563
